typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate,year
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,484,MEX,Mexico,0,W00,World,H6,HS,True,6109,"T-shirts, singlets and other vests; knitted or crocheted",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,186377016.0,False,11,12u,15531418.0,False,33009607.0,False,0.0,False,472173492.0,468361693.0,472173492.0,0,False,True,2023
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,50,BGD,Bangladesh,0,W00,World,H6,HS,True,6109,"T-shirts, singlets and other vests; knitted or crocheted",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,248408532.0,False,11,12u,20700711.0,False,43555173.0,False,0.0,False,449572719.0,430006725.0,449572719.0,0,False,True,2023
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,704,VNM,Viet Nam,0,W00,World,H6,HS,True,6109,"T-shirts, singlets and other vests; knitted or crocheted",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,136605252.0,False,11,12u,11383771.0,False,21504336.0,False,0.0,False,428670533.0,413235824.0,428670533.0,0,False,True,2023
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,410,KOR,Rep. of Korea,0,W00,World,H6,HS,True,6109,"T-shirts, singlets and other vests; knitted or crocheted",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,985716.0,False,11,12u,82143.0,False,237863.0,False,0.0,False,13654859.0,12884149.0,13654859.0,0,False,True,2023
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,156,CHN,China,0,W00,World,H6,HS,True,6109,"T-shirts, singlets and other vests; knitted or crocheted",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,302514372.0,False,11,12u,25209531.0,False,61974923.0,False,0.0,False,585045637.0,547827763.0,585045637.0,0,False,True,2023
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,156,CHN,China,0,W00,World,H6,HS,True,8517,"Telephone sets, including smartphones and other telephones for cellular/wireless networks; other apparatus for the transmission or reception of voice, images or other data (including wired/wireless networks), excluding items of 8443, 8525, 8527, or 8528",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,True,-1,N/A,0.0,False,104217023.978,True,0.0,False,55216749072.0,54588332754.0,55216749072.0,6,False,True,2023
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,410,KOR,Rep. of Korea,0,W00,World,H6,HS,True,8517,"Telephone sets, including smartphones and other telephones for cellular/wireless networks; other apparatus for the transmission or reception of voice, images or other data (including wired/wireless networks), excluding items of 8443, 8525, 8527, or 8528",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,True,-1,N/A,0.0,False,2607361.702,True,0.0,False,1481020211.0,1472564876.0,1481020211.0,6,False,True,2023
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,484,MEX,Mexico,0,W00,World,H6,HS,True,8517,"Telephone sets, including smartphones and other telephones for cellular/wireless networks; other apparatus for the transmission or reception of voice, images or other data (including wired/wireless networks), excluding items of 8443, 8525, 8527, or 8528",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,True,-1,N/A,0.0,False,50507040.14,True,0.0,False,10360714728.0,10333464570.0,10360714728.0,6,False,True,2023
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,704,VNM,Viet Nam,0,W00,World,H6,HS,True,8517,"Telephone sets, including smartphones and other telephones for cellular/wireless networks; other apparatus for the transmission or reception of voice, images or other data (including wired/wireless networks), excluding items of 8443, 8525, 8527, or 8528",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,True,-1,N/A,0.0,False,59171984.837,True,0.0,False,19157603317.0,18995265928.0,19157603317.0,6,False,True,2023
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,50,BGD,Bangladesh,0,W00,World,H6,HS,True,8517,"Telephone sets, including smartphones and other telephones for cellular/wireless networks; other apparatus for the transmission or reception of voice, images or other data (including wired/wireless networks), excluding items of 8443, 8525, 8527, or 8528",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,302.06,True,-1,N/A,0.0,False,312.033,True,0.0,False,61735.0,61059.0,61735.0,6,False,True,2023
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,156,CHN,China,0,W00,World,H6,HS,True,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,965735893.235,True,-1,N/A,0.0,False,965735893.235,True,0.0,False,9918736778.0,9276874462.0,9918736778.0,6,False,True,2023
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,50,BGD,Bangladesh,0,W00,World,H6,HS,True,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,17210.774,True,-1,N/A,0.0,False,17210.774,True,0.0,False,258262.0,255017.0,258262.0,6,False,True,2023
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,410,KOR,Rep. of Korea,0,W00,World,H6,HS,True,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,491520793.32,True,-1,N/A,0.0,False,491520793.32,True,0.0,False,6169581852.0,5935105357.0,6169581852.0,6,False,True,2023
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,484,MEX,Mexico,0,W00,World,H6,HS,True,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2671272443.879,True,-1,N/A,0.0,False,2671272443.879,True,0.0,False,35119285542.0,34870326094.0,35119285542.0,6,False,True,2023
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,704,VNM,Viet Nam,0,W00,World,H6,HS,True,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,42617487.393,True,-1,N/A,0.0,False,42617487.393,True,0.0,False,553013044.0,535116697.0,553013044.0,6,False,True,2023
